指标,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年
医疗保健类城市居民消费价格指数(上年=100),101.1,100.6,100.3,101.7,102.5,104.6,106.8,104.4
药品及医疗器具类城市居民消费价格指数(上年=100),,100.1,99.5,100.8,103.5,104.1,105.0,104.4
医疗服务类城市居民消费价格指数(上年=100),,100.8,100.7,102.4,101.8,105.0,108.2,104.4
