指标,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度
家用电冰箱销售量累计值(万台),7921.3,6381.7,4168.1,1758.5,8005.0
家用电冰箱产销率累计值(%),100.3,99.4,98.1,95.8,101.9
家用电冰箱产销率比上年同期增减(百分点),0.0,-0.2,-1.2,-0.8,-0.3
家用电冰箱期末库存比年初增减(%),-4.8,8.2,16.9,17.0,13.8
