指标,2019年第四季度,2019年第三季度,2019年第二季度,2019年第一季度,2018年第四季度
房间空气调节器销售量累计值(万台),21365.5,15987.8,11423.9,4957.5,20142.5
房间空气调节器产销率累计值(%),97.7,94.0,95.4,95.4,98.3
房间空气调节器产销率比上年同期增减(百分点),-0.9,-4.5,-5.5,-4.0,3.0
房间空气调节器期末库存比年初增减(%),20.8,53.5,29.4,13.4,11.9
