车型,车型,本月完成(辆),同期完成(辆),比同期增长(%),本月累计(辆),同期累计(辆),比同期累计增长(%)
乘用车,乘用车,264500,223281,18.46,264500,223281,18.46
商用车,小型货车,9120,7579,20.33,9120,7579,20.33
商用车,大中型货车,2430,3930,-38.17,2430,3930,-38.17
商用车,客车,140,179,-21.79,140,179,-21.79
商用车,合计,11690,11688,0.02,11690,11688,0.02
总计,总计,276190,234969,17.54,276190,234969,17.54
